,columns,valid_count,unique_count
0,date_received,3122836,4018
1,product,3122836,18
2,sub_product,2887543,76
3,issue,3122836,165
4,sub_issue,2438461,221
5,consumer_complaint_narrative,1121913,979279
6,company_public_response,1359325,11
7,company,3122836,6579
8,state,3082743,63
9,zip_code,3082222,34463
10,tags,353109,3
11,consumer_consent_provided,2297533,4
12,submitted_via,3122836,7
13,date_sent_to_company,3122836,3967
14,company_response_to_consumer,3122832,8
15,timely_response,3122836,2
16,consumer_disputed,768440,2
17,complaint_id,3122836,3122836
